# GTID 	 name 	 time
GT0001	fr_b3.1_a0.4_oth.000_M77	150.0
GT0002	fr_b3.1_a0.4_oth.045_M77	150.0
GT0003	fr_b3.1_a0.4_oth.090_M77	150.0
GT0004	fr_b3.1_a0.4_oth.135_M77	150.0
GT0005	fr_b3.1_a0.4_oth.180_M77	150.0
GT0006	fr_b3.1_a0.4_oth.225_M77	150.0
GT0007	fr_b3.1_a0.4_oth.270_M77	150.0
GT0008	fr_b3.1_a0.4_oth.315_M77	150.0
GT0009	fr_b3.1_a0.2_oth.000_M77	150.0
GT0010	fr_b3.1_a0.2_oth.045_M77	150.0
GT0011	fr_b3.1_a0.2_oth.090_M77	150.0
GT0012	fr_b3.1_a0.2_oth.135_M77	150.0
GT0013	fr_b3.1_a0.2_oth.180_M77	150.0
GT0014	fr_b3.1_a0.2_oth.225_M77	150.0
GT0015	fr_b3.1_a0.2_oth.270_M77	150.0
GT0016	fr_b3.1_a0.2_oth.315_M77	150.0
GT0203	fr_b5_a0.6_oth.045_M77	150.0
GT0204	fr_b5_a0.6_oth.090_M77	150.0
GT0205	fr_b5_a0.6_oth.135_M77	150.0
GT0206	fr_b5_a0.6_oth.180_M77	150.0
GT0207	fr_b5_a0.6_oth.225_M77	150.0
GT0208	fr_b5_a0.6_oth.270_M77	150.0
GT0209	fr_b5_a0.6_oth.315_M77	150.0
GT0227	fr_b5_a0.6_oth.240_M77	150.0
GT0229	fr_b5_a0.6_oth.255_M77	150.0
GT0255	fr_b3.1_a0.6_oth.015_rr_M77	150.0
GT0256	fr_b3.1_a0.6_oth.030_rr_M77	150.0
GT0258	fr_b3.1_a0.6_oth.060_rr_M77	150.0
GT0259	fr_b3.1_a0.6_oth.075_rr_M77	150.0
GT0261	fr_b3.1_a0.6_oth.105_rr_M77	150.0
GT0262	fr_b3.1_a0.6_oth.120_rr_M77	150.0
GT0264	fr_b3.1_a0.6_oth.150_rr_M77	150.0
GT0265	fr_b3.1_a0.6_oth.165_rr_M77	150.0
GT0267	fr_b3.1_a0.6_oth.195_rr_M77	150.0
GT0272	fr_b3.1_a0.6_oth.250_rr_M77	150.0
GT0275	fr_b3.1_a0.6_oth.265_rr_M77	150.0
GT0277	fr_b3.1_a0.6_oth.285_rr_M77	150.0
GT0278	fr_b3.1_a0.6_oth.300_rr_M77	150.0
GT0280	fr_b3.1_a0.6_oth.330_rr_M77	150.0
GT0281	fr_b3.1_a0.6_oth.345_rr_M77	150.0
GT0282	fr_b3.1_a0.4_oth.247_M77	150.0
GT0283	fr_b3.1_a0.4_oth.255_M77	150.0
GT0284	fr_b3.1_a0.6_oth.235_rr_M77	150.0
GT0285	fr_b3.1_a0.6_oth.230_rr_M77	150.0
GT0286	fr_b3.1_a0.6_oth.220_rr_M77	150.0
GT0287	fr_b3.1_a0.6_oth.215_rr_M77	150.0
GT0304	fr_b5_a0.6_oth.000_M90	150.0
GT0308	fr_b5_a0.6_oth.210_M77	150.0
GT0311	fr_b5_a0.6_oth.245_M77	150.0
GT0314	fr_b5_a0.6_oth.260_M77	150.0
GT0355	D11_a0.2_q1.00_m103_As	150.0
GT0356	D11_a0.4_q1.00_m103_As	150.0
GT0357	D11_a0.6_q1.00_m103_As	150.0
GT0358	D11_a0.8_q1.00_m103_As	150.0
GT0370	D10_a0.0_q1.15_m103_Qs	150.0
GT0371	D10_a0.0_q1.30_m103_Qs	150.0
GT0372	D10_a0.0_q1.45_m103_Qs	150.0
GT0374	D10_a0.0_q1.60_m103_Qs	150.0
GT0376	D10_a0.0_q1.90_m103_Qs	150.0
