#IDs	Tags	Time of Junk (Ylm)	Time of Junk (mp)	Time of Junk
GT0872	q2_LL_D9_a0.6_th1_45_th2_225_m140	172	171	171
GT0873	q1.5_LL_D9_a0.6_th1_45_th2_225_m140	171	171	171
GT0874	q3_LL_D9_a0.6_th1_45_th2_225_m140	172	173	172
GT0875	q4_LL_D9_a0.6_th1_45_th2_225_m166	172	172	172
GT0876	q1.25_LL_D9_a0.6_th1_45_th2_225_m140	171	171	171
GT0877	q1.75_LL_D9_a0.6_th1_45_th2_225_m140	171	171	171
GT0878	q2.25_LL_D9_a0.6_th1_45_th2_225_m140	171	172	171
GT0879	q3.5_LL_D9_a0.6_th1_45_th2_225_m140	172	173	172
GT0880	q4.5_LL_D9_a0.6_th1_45_th2_225_m186	172	172	172
GT0881	q2.5_LL_D9_a0.6_th1_45_th2_225_m140	171	172	171
GT0882	q2.75_LL_D9_a0.6_th1_45_th2_225_m140	172	172	172
GT0883	q3.25_LL_D9_a0.6_th1_45_th2_225_m140	172	173	172
GT0884	q3.75_LL_D9_a0.6_th1_45_th2_225_m140	172	172	172
GT0885	q1_LL_D9_a0.6_th1_45_th2_225_m140	170	170	170
GT0886	q8_LL_D9_a0.6_th1_45_th2_225_m400	172	172	172
GT0887	q5_LL_D9_a0.6_th1_45_th2_225_m320	172	173	172
GT0888	q7_LL_D9_a0.6_th1_45_th2_225_m320	174	172	173
GT0889	q6_LL_D9_a0.6_th1_45_th2_225_m320	173	172	172
GT0890	D9_q2.0_a0.6_0.6_th0_r100_res140_CE	171	170	170
GT0891	D9_q2.0_a0.6_0.6_th135_r100_res140_CE	168	168	168
GT0893	D9_q2.0_a0.6_0.6_th225_r100_res140_CE	168	168	168
GT0894	D9_q2.0_a0.6_0.6_th270_r100_res140_CE	169	169	169
GT0895	D9_q2.0_a0.6_0.6_th315_r100_res140_CE	170	169	169
GT0896	D9_q2.0_a0.6_0.6_th45_r100_res140_CE	169	170	169
GT0897	D9_q2.0_a0.6_0.6_th90_r100_res140_CE	170	169	169
GT0898	GW15_D12_q1.2_a0.0_m140	146	147	146
GT0900	q1.2_a0.4x_0.4x_GW15_D11_m140	139	missing	139
GT0905	D9_q1.0_a0.0_m160	150	missing	150
GT0906	D9_q5.0_a0.0_Q24	150	missing	150
